ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,bimonthly,bimonthly_lower,bimonthly_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2020-01-24,13446.390423051495,9035.525904370576,15442.670920469005,10205.76349890878,16660.0733935673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05021817181920624,-0.05021817181920624,-0.05021817181920624,0.0,0.0,0.0,-0.08413112574076814,-0.08413112574076814,-0.08413112574076814,-0.033912953921561906,-0.033912953921561906,-0.033912953921561906,0.0,0.0,0.0,12315.130459610287
2020-01-25,13472.379265458554,9048.838800375528,15342.238343305502,10196.917484933863,16750.340198389076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056618566435793646,-0.056618566435793646,-0.056618566435793646,0.0,0.0,0.0,-0.09947861716721727,-0.09947861716721727,-0.09947861716721727,-0.042860050731423634,-0.042860050731423634,-0.042860050731423634,0.0,0.0,0.0,12132.165606178447
2020-01-26,13498.368107865623,8795.416808726162,15067.457352259433,10188.185644942163,16843.61263785759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0617022140172904,-0.0617022140172904,-0.0617022140172904,0.0,0.0,0.0,-0.11353309116814993,-0.11353309116814993,-0.11353309116814993,-0.051830877150859544,-0.051830877150859544,-0.051830877150859544,0.0,0.0,0.0,11965.856650854068
2020-01-27,13524.356950272686,8568.710178785293,14794.540091705785,10176.101244865846,16928.116911375502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06501863307583676,-0.06501863307583676,-0.06501863307583676,0.0,0.0,0.0,-0.1258281717999323,-0.1258281717999323,-0.1258281717999323,-0.06080953872409557,-0.06080953872409557,-0.06080953872409557,0.0,0.0,0.0,11822.611840450165
2020-01-28,13550.345792679753,8359.777712311034,14926.589204676031,10120.85594454101,16995.444785057738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06644044619504579,-0.06644044619504579,-0.06644044619504579,0.0,0.0,0.0,-0.13622065967676256,-0.13622065967676256,-0.13622065967676256,-0.06978021348171677,-0.06978021348171677,-0.06978021348171677,0.0,0.0,0.0,11704.508749952673
2020-01-29,13576.334635086818,8438.638138633482,14755.310015933528,10095.822472288653,17070.205019881534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06614501386583246,-0.06614501386583246,-0.06614501386583246,0.0,0.0,0.0,-0.14487219854526345,-0.14487219854526345,-0.14487219854526345,-0.078727184679431,-0.078727184679431,-0.078727184679431,0.0,0.0,0.0,11609.501188315584
2020-01-30,13602.323477493876,8290.134026754084,14875.443177755242,10079.633588262452,17139.147998700024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06452875652851921,-0.06452875652851921,-0.06452875652851921,0.0,0.0,0.0,-0.15216362960720875,-0.15216362960720875,-0.15216362960720875,-0.08763487307868956,-0.08763487307868956,-0.08763487307868956,0.0,0.0,0.0,11532.544566067058
2020-01-31,13628.312319900944,8438.057059188493,14795.000230793017,10081.709460735154,17222.326215464924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.062080456744696894,-0.062080456744696894,-0.062080456744696894,0.0,0.0,0.0,-0.15856832543884922,-0.15856832543884922,-0.15856832543884922,-0.0964878686941523,-0.0964878686941523,-0.0964878686941523,0.0,0.0,0.0,11467.293656776612
2020-02-01,13654.301162308011,8090.088554492554,14473.29861424056,10037.162885686166,17322.422514928276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05924710762174968,-0.05924710762174968,-0.05924710762174968,0.0,0.0,0.0,-0.1645180695571943,-0.1645180695571943,-0.1645180695571943,-0.10527096193544459,-0.10527096193544459,-0.10527096193544459,0.0,0.0,0.0,11407.921893932544
2020-02-02,13680.290004715076,8189.214695644514,14773.509139206972,9989.152851450714,17425.47443201548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056324703585452225,-0.056324703585452225,-0.056324703585452225,0.0,0.0,0.0,-0.17029387765680376,-0.17029387765680376,-0.17029387765680376,-0.11396917407135153,-0.11396917407135153,-0.11396917407135153,0.0,0.0,0.0,11350.620372342531
